Provincia	Población 2001	Población 2010	Variación absoluta	Variación relativa (%)
Ciudad de Buenos Aires	2.776.138	2.890.151	114.013	4,1
Buenos Aires	13.827.203	15.625.084	1.797.881	13,0
Catamarca	334.568	367.828	33.260	9,9
Chaco	984.446	1.055.259	70.813	7,2
Chubut	413.237	509.108	95.871	23,2
Córdoba	3.066.801	3.308.876	242.075	7,9
Corrientes	930.991	992.595	61.604	6,6
Entre Rios	1.158.147	1.235.994	77.847	6,7
Formosa	486.559	530.162	43.603	9,0
Jujuy	611.888	673.307	61.419	10,0
La Pampa	299.294	318.951	19.657	6,6
La Rioja	289.983	333.642	43.659	15,1
Mendoza	1.579.651	1.738.929	159.278	10,1
Misiones	965.522	1.101.593	136.071	14,1
Neuquen	474.155	551.266	77.111	16,3
Rio Negro	552.822	638.645	85.823	15,5
Salta	1.079.051	1.214.441	135.390	12,5
San Juan	620.023	681.055	61.032	9,8
San Luis	367.933	432.310	64.377	17,5
Santa Cruz	196.958	273.964	77.006	39,1
Santa Fe	3.000.701	3.194.537	193.836	6,5
Santiago del Estero	804.457	874.006	69.549	8,6
Tierra del Fuego	101.079	127.205	26.126	25,8
Tucuman	1.338.523	1.448.188	109.665	8,2
