area,organismo_origen,via_acceso,año,provincia,contexto,contexto1,circunstancia,alojamiento,violencia_fisica,violencia_psiquica,violencia_genero,violencia_salud,resumen_hecho,descripcion_institucion,establecimiento,
DNPCVI,SECRETARIA DE DDHH,Telefónica,"2017,00",Buenos Aires,Situaciones de Detención,Penal / Complejo Penitenciario PROVINCIAL,,,,,,Denegación acceso atención médica,,Servicio Penitenciario Provincial,UPP Nº 13 Junin,
DNPCVI,SECRETARIA DE DDHH,Telefónica,"2017,00",Buenos Aires,Situaciones de Detención,Penal / Complejo Penitenciario PROVINCIAL,,"Malas condiciones de alojamiento (higiene), Hurto / Robo de pertenencias",,,,Denegación acceso atención médica,,Servicio Penitenciario Provincial,UPP Nº 13 DE JUNIN,
DNPCVI,SECRETARIA DE DDHH,Telefónica,"2017,00",Buenos Aires,Situaciones de Detención,Penal / Complejo Penitenciario PROVINCIAL,,Malas condiciones de alojamiento (higiene),,,,,,Servicio Penitenciario Provincial,UPP Nº 36 de Magdalena,
DNPCVI,SECRETARIA DE DDHH,Telefónica,"2017,00",Buenos Aires,Situaciones de Detención,Comisaría,,"Mala alimentación, Malas condiciones de alojamiento (infraestructura)",,Alejamiento de vínculos,,,,Policia Provincial,Comisaria Nº 3 de Rafael Castillo,
DNPCVI,SECRETARIA DE DDHH,Telefónica,"2017,00",Buenos Aires,Situaciones de Detención,Penal / Complejo Penitenciario PROVINCIAL,,,Golpes,,,,,Servicio Penitenciario Provincial,,
DNPCVI,SECRETARIA DE DDHH,Telefónica,"2017,00",Buenos Aires,Situaciones de Detención,Penal / Complejo Penitenciario PROVINCIAL,,,Golpes,Alejamiento de vínculos,,,,Servicio Penitenciario Provincial,,
DNPCVI,SECRETARIA DE DDHH,Telefónica,"2017,00",Buenos Aires,Situaciones de Detención,Penal / Complejo Penitenciario PROVINCIAL,,,,,,"Denegación de acceso atención terapéutica, Falta de administración de medicación",,Servicio Penitenciario Provincial,UPP Nº 49 JUNIN,
DNPCVI,SECRETARIA DE DDHH,Telefónica,"2017,00",Buenos Aires,Situaciones de Detención,Penal / Complejo Penitenciario PROVINCIAL,,,,Alejamiento de vínculos,,,,Servicio Penitenciario Provincial,,
DNPCVI,SECRETARIA DE DDHH,Telefónica,"2017,00",Buenos Aires,Situaciones de Detención,Penal / Complejo Penitenciario PROVINCIAL,,,,,,"Denegación acceso atención médica, Falta de acceso ayudas técnicas y/o elementos / insumos medico asistenciales",,Servicio Penitenciario Provincial,UPP Nº 28 de Magdalena,
DNPCVI,SECRETARIA DE DDHH,Telefónica,"2017,00",Buenos Aires,Situaciones de Detención,Penal / Complejo Penitenciario PROVINCIAL,,,,Otras formas de maltrato psicológico,,,,Servicio Penitenciario Provincial,UPP Nº 42 de Florencio Varela,
DNPCVI,SECRETARIA DE DDHH,Telefónica,"2017,00",Buenos Aires,Situaciones de Detención,Penal / Complejo Penitenciario FEDERAL,,,,,,Denegación acceso atención médica,,Servicio Penitenciario Federal,CPF Nº 2 MARCOS PAZ,
DNPCVI,SECRETARIA DE DDHH,Telefónica,"2017,00",Buenos Aires,Situaciones de Detención,Penal / Complejo Penitenciario PROVINCIAL,,Mala alimentación,,"Extorsión, forzamiento de la conducta, incitación a la violencia, Alejamiento de vínculos",,,,Servicio Penitenciario Provincial,UPP Nº 17 Urdampilleta,
DNPCVI,SECRETARIA DE DDHH,Telefónica,"2017,00",Buenos Aires,Situaciones de Detención,Penal / Complejo Penitenciario FEDERAL,,,,,,Falta de acceso ayudas técnicas y/o elementos / insumos medico asistenciales,,Servicio Penitenciario Federal,UPF Nº 2 Marcos Paz,
DNPCVI,SECRETARIA DE DDHH,Telefónica,"2017,00",Buenos Aires,Situaciones de Detención,Penal / Complejo Penitenciario PROVINCIAL,,,,,,Denegación acceso atención médica,,Servicio Penitenciario Provincial,UPP Nº 48 de San Martin,
DNPCVI,SECRETARIA DE DDHH,Telefónica,"2017,00",Buenos Aires,Situaciones de Detención,Penal / Complejo Penitenciario PROVINCIAL,,Hurto / Robo de pertenencias,Golpes,,,"Denegación acceso atención médica, Falta de administración de medicación",,Servicio Penitenciario Provincial,UPP Nº 37 BARKER,
DNPCVI,SECRETARIA DE DDHH,Telefónica,"2017,00",Buenos Aires,Situaciones de Detención,Penal / Complejo Penitenciario PROVINCIAL,,,,,,"Denegación acceso atención médica, Falta de administración de medicación",,Servicio Penitenciario Provincial,UPP Nº 27 Magdalena,
DNPCVI,SECRETARIA DE DDHH,Telefónica,"2017,00",Buenos Aires,Situaciones de Detención,Comisaría,,"Mala alimentación, Malas condiciones de alojamiento (higiene)",,,,Falta de administración de medicación,,Policia Provincial,Comisaria 7,
